Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
253807,8936137310144,MOO Sua Chua An It Duong 180g/1 Hop,HOP,20,1,Bad Merchandise,20210329162901
254528,8935001282440,IMUSE Nuoc Uong Vi Chanh Sua Chua 280ml/1 Chai,CHAI,7,1,Backroom,20210329161331
254528,8935001282440,IMUSE Nuoc Uong Vi Chanh Sua Chua 280ml/1 Chai,CHAI,5,1,Backroom,20210329161335
256025,8936136160825,OMACHI Mi Xot Tom Pho Mai Trung Muoi 105g/1 To,TO,12,1,Backroom,20210329161854
256059,8936122200207,MR.BROWN Tra Sua 320ml/1 Lon,LON,10,1,Backroom,20210329161207
256067,4710085121045,YOGOFRESH Nuoc Vi Sua Chua 580ml/1 Chai,CHAI,5,1,Display,20210329160836
256677,8934772745079,SAN MIGUEL Bia Light 500ml/1 Lon,LON,2,1,Display,20210329163223
257746,8936036201444,HOEGAARDEN Bia Rosee 330ml/1 Lon,LON,9,1,Backroom,20210329161224
257851,8936049051616,OTTOGI Mi Yeul Cay 62g/1 Ly,LY,5,1,Backroom,20210329161910
258784,8936175702390,HUNUFA Ly Canh Rong Bien/1 Cai,CAI,2,1,Backroom,20210329161604
258784,8936175702390,HUNUFA Ly Canh Rong Bien/1 Cai,CAI,5,1,Display,20210329163720
258970,8935007131100,LOTHAMILK Sua Tiet Trung Co Duong 180ml/1 Hop,HOP,6,1,Display,20210329155420
259405,8935015402254,CHUONG DUONG Sa Xi 390ml/1 Chai,CHAI,12,1,Display,20210329160747
260367,8938508730575,VPMILK DALAT Sua Thanh Trung It Duong  200ml/1 Chai,CHAI,6,1,Display,20210329155345
260781,8938507849094,COCOXIM Nuoc Dua Xiem Xanh 1L/1 Hop,HOP,5,1,Display,20210329160945
261020,6001108006745,TABLE MOUTAIN Ruou Vang Do Cabernet Sauvignon 750ml/1 Chai,CHAI,2,1,Display,20210329155701
262791,8936146440474,G Cha Lua Trung Muoi 200g/1 Goi,GOI,3,1,Display,20210329154643
262806,8936146440085,G Xuc Xich Xong Khoi 200g/1 Goi,GOI,12,1,Display,20210329154640
262814,8936146440559,G Xuc Xich Pho Mai 200g/1 Goi,GOI,12,1,Display,20210329154634
263153,8936076270219,CK Banh Mi Que Dam Bong Pho Mai/1 Cai,CAI,5,1,Display,20210329155111
264117,8935217464548,TH TRUE NUT Sua Hanh Nhan 180ml/1 Hop,HOP,8,1,Display,20210329155300
265202,8936127790147,TH Nuoc Gao Rang 300ml/1 Chai,CHAI,10,1,Display,20210329160729
265317,8888017300571,HEINEKEN Bia Khong Con 330ml/1 Lon,LON,6,1,Backroom,20210329161256
