Item Code	Item Name	BarCode	Unit	Converter
266915	BOBBY Ta Quan Size M 40pcs/1Goi	266915	GOI	1
266915	BOBBY Ta Quan Size M 40pcs/1Goi	8934755051104	GOI	1
266923	BOBBY Ta Quan Size L 38pcs/1Goi	266923	GOI	1
266923	BOBBY Ta Quan Size L 38pcs/1Goi	8934755051081	GOI	1
266931	X-MEN Sua Tam Ph.Ban Dac Biet 650g/1Chai	266931	CHAI	1
266931	X-MEN Sua Tam Ph.Ban Dac Biet 650g/1Chai	8935136862982	CHAI	1
266949	X-MEN Dau Goi N.Hoa Wood 650g/1Chai	266949	CHAI	1
266949	X-MEN Dau Goi N.Hoa Wood 650g/1Chai	8935136860889	CHAI	1
266957	X-MEN Sua Tam For Boss Intense 380g/1Chai	266957	CHAI	1
266957	X-MEN Sua Tam For Boss Intense 380g/1Chai	8935136860155	CHAI	1
266965	X-MEN Dau Goi For Boss Intense 650g/1Chai	266965	CHAI	1
266965	X-MEN Dau Goi For Boss Intense 650g/1Chai	8935136860339	CHAI	1
266973	ROMANO Dau Goi 5in1 Classic 650g/1Chai	266973	CHAI	1
266973	ROMANO Dau Goi 5in1 Classic 650g/1Chai	8935212812658	CHAI	1
266981	ROMANO Dau Goi Classic 650g/1Chai	266981	CHAI	1
266981	ROMANO Dau Goi Classic 650g/1Chai	8935212810043	CHAI	1
266999	ROMANO Tam Goi Classic 650g/1Chai	266999	CHAI	1
266999	ROMANO Tam Goi Classic 650g/1Chai	8935212811477	CHAI	1
267000	ROMANO Dau Goi VIP 650g/1Chai	267000	CHAI	1
267000	ROMANO Dau Goi VIP 650g/1Chai	8935212811811	CHAI	1
267050	BENZONY Khau Trang Vai 2 Lop 3P/1 Goi	267050	GOI	1
267050	BENZONY Khau Trang Vai 2 Lop 3P/1 Goi	8936120175552	GOI	1
267068	BENZONY Khau Trang Vai 3 Lop 2P/1 Goi	267068	GOI	1
267068	BENZONY Khau Trang Vai 3 Lop 2P/1 Goi	8936120175576	GOI	1
267092	UNO Bo Bai Boardgame/1 Cai	267092	CAI	1
267092	UNO Bo Bai Boardgame/1 Cai	2900012670926	CAI	1
267115	AXO Nuoc Tay Quan Ao Mau 400ml/1 Chai	267115	CHAI	1
267115	AXO Nuoc Tay Quan Ao Mau 400ml/1 Chai	8936027440012	CHAI	1
267123	JUMBO Xit Con Trung Huong Chanh 600ml/1 Chai	267123	CHAI	1
267123	JUMBO Xit Con Trung Huong Chanh 600ml/1 Chai	8934732202017	CHAI	1
267131	ANECO Tui Thuc Pham 120pcs/1 Goi	267131	GOI	1
267131	ANECO Tui Thuc Pham 120pcs/1 Goi	8938523350208	GOI	1
267149	ANECO Tui Thuc Pham 50pcs/1 Hop	267149	HOP	1
267149	ANECO Tui Thuc Pham 50pcs/1 Hop	8938523350048	HOP	1
